timestamp,value,quality,dd6_stage_m,interp_dd6_discharge
2019-09-17 02:35:21+00:00,4.33,,1.3197839577669135,48.221122829495194
2019-09-17 08:35:21+00:00,4.36,,1.3289279574743054,49.06684262229515
2019-09-17 14:35:20+00:00,4.43,,1.3502639567915533,51.04018880549506
2019-09-17 17:50:20+00:00,4.56,,1.3898879555235852,54.70497457429491
2019-09-17 20:35:20+00:00,4.61,,1.4051279550359055,56.114507562294875
2019-09-18 00:20:19+00:00,4.73,,1.4417039538654737,59.49738673349475
2019-09-18 02:35:20+00:00,4.78,,1.4569439533777935,60.906919721494674
2019-09-18 04:05:19+00:00,4.91,,1.4965679521098256,64.57170549029455
2019-09-18 05:35:19+00:00,5.28,,1.6093439485009937,77.08118957351763
2019-09-18 06:05:19+00:00,5.41,,1.6489679472330256,81.71119802374136
2019-09-18 06:35:19+00:00,5.66,,1.7251679447946258,90.61506042801777
2019-09-18 07:05:19+00:00,5.9,,1.798319942453762,99.16276833612312
2019-09-18 07:20:19+00:00,6.03,,1.837943941185794,104.12139005728879
2019-09-18 07:50:19+00:00,6.28,,1.914143938747394,115.76371391223441
2019-09-18 08:05:19+00:00,6.45,,1.9659599370892822,123.68049413359746
2019-09-18 08:20:19+00:00,6.7,,2.0421599346508823,135.3228179885431
2019-09-18 08:35:20+00:00,6.83,,2.0817839333829142,141.3768263931148
2019-09-18 09:05:19+00:00,7.13,,2.1732239304568344,156.63351382968438
2019-09-18 09:20:19+00:00,7.28,,2.2189439289937942,165.1026400961223
2019-09-18 09:35:19+00:00,7.47,,2.2768559271406104,175.83020003361037
2019-09-18 09:50:19+00:00,7.65,,2.3317199253849625,185.99315155333596
2019-09-18 10:05:19+00:00,7.77,,2.3682959242145305,192.7684525664863
2019-09-18 10:20:19+00:00,8.05,,2.4536399214835227,209.8868048078038
2019-09-18 10:35:19+00:00,8.25,,2.5145999195328024,226.41626615386096
2019-09-18 10:50:19+00:00,8.42,,2.5664159178746906,240.46630829800966
2019-09-18 11:05:19+00:00,8.6,,2.6212799161190428,255.34282350946123
2019-09-18 11:20:19+00:00,8.8,,2.682239914168323,271.8722848555185
2019-09-18 11:35:19+00:00,9.05,,2.758439911729923,293.19397391679524
2019-09-18 11:50:19+00:00,9.22,,2.810255910071811,309.48756107136035
2019-09-18 12:20:19+00:00,9.64,,2.938271905975299,349.7423058061685
2019-09-18 12:50:19+00:00,9.97,,3.038855902756611,381.37103381208914
2019-09-18 13:20:19+00:00,10.09,,3.075431901586179,392.51582749562607
2019-09-18 13:35:20+00:00,10.39,,3.166871898660099,420.0806725160511
2019-09-18 14:20:19+00:00,10.54,,3.212591897197059,433.8630950262635
2019-09-18 14:35:19+00:00,10.54,,3.212591897197059,433.8630950262635
2019-09-18 14:50:19+00:00,10.69,,3.2583118957340194,447.6455175364761
2019-09-18 15:35:18+00:00,10.94,,3.3345118932956193,470.61622172016354
2019-09-18 16:05:18+00:00,10.77,,3.282695894953731,454.996142875256
2019-09-18 16:20:18+00:00,10.89,,3.3192718937832995,466.0220808834261
2019-09-18 16:35:18+00:00,11.11,,3.3863278916375075,491.19334727512484
2019-09-18 18:05:18+00:00,11.24,,3.4259518903695394,508.99646012741516
2019-09-18 18:20:18+00:00,11.36,,3.4625278891991074,525.4301027602986
2019-09-18 21:35:18+00:00,11.66,,3.5539678862730275,566.5142093425072
2019-09-18 22:35:18+00:00,11.79,,3.5935918850050594,584.3173221947975
2019-09-18 23:05:18+00:00,12.01,,3.660647882859268,614.6037609328921
2019-09-18 23:20:18+00:00,12.29,,3.7459918801282597,657.375726577349
2019-09-18 23:50:18+00:00,12.49,,3.8069518781775398,687.9271306091041
2019-09-19 00:05:18+00:00,12.34,,3.76123187964058,665.013577585288
2019-09-19 00:20:18+00:00,12.58,,3.834383877299716,701.6752624233939
2019-09-19 00:50:18+00:00,12.31,,3.752087879933188,660.4308669805248
2019-09-19 01:05:18+00:00,12.58,,3.834383877299716,701.6752624233939
2019-09-19 01:20:18+00:00,12.76,,3.889247875544068,729.1715260519735
2019-09-19 03:05:18+00:00,12.88,,3.9258238743736364,747.5023684710268
2019-09-19 03:20:18+00:00,13.26,,4.041647870667268,809.1732830202128
2019-09-19 04:20:18+00:00,13.18,,4.017263871447556,795.8378744271856
2019-09-19 04:35:18+00:00,13.46,,4.102607868716548,842.5118045027803
2019-09-19 05:50:18+00:00,13.48,,4.108703868521476,845.8456566510368
2019-09-19 06:20:18+00:00,13.68,,4.169663866570756,879.1841781336043
2019-09-19 06:35:18+00:00,13.56,,4.133087867741188,859.1810652440637
2019-09-19 06:50:18+00:00,13.68,,4.169663866570756,879.1841781336043
2019-09-19 07:05:18+00:00,13.88,,4.2306238646200365,912.5226996161716
2019-09-19 07:20:27+00:00,13.63,,4.154423867058436,870.8495477629623
2019-09-19 07:35:18+00:00,13.83,,4.215383865107716,904.1880692455296
2019-09-19 08:05:18+00:00,14.03,,4.276343863156996,937.9130527543476
2019-09-19 08:35:18+00:00,14.08,,4.291583862669317,946.891796120828
2019-09-19 09:50:18+00:00,14.45,,4.404359859060484,1013.3344970327813
2019-09-19 10:05:18+00:00,14.2,,4.328159861498884,968.4407802003801
2019-09-19 10:50:18+00:00,14.43,,4.3982638592555565,1009.7429996861893
2019-09-19 11:05:18+00:00,14.58,,4.443983857792516,1036.6792297856298
2019-09-19 11:20:18+00:00,14.25,,4.343399861011204,977.4195235668604
2019-09-19 11:50:18+00:00,14.4,,4.389119859548164,1004.355753666301
