timestamp,value,quality,dd6_stage_m,interp_dd6_discharge
2019-09-17 02:47:43+00:00,11.07,,3.3741358920276516,485.7154663974971
2019-09-17 05:47:44+00:00,11.21,,3.416807890662148,504.8880494691946
2019-09-17 06:47:45+00:00,11.36,,3.4625278891991074,525.4301027602986
2019-09-17 09:02:44+00:00,11.51,,3.5082478877360677,545.972156051403
2019-09-17 10:17:44+00:00,11.65,,3.5509198863705635,565.1447391231003
2019-09-17 11:47:45+00:00,11.65,,3.5509198863705635,565.1447391231003
2019-09-17 12:17:45+00:00,11.27,,3.4350958900769313,513.104870785636
2019-09-17 12:32:45+00:00,11.04,,3.3649918923202593,481.6070557392761
2019-09-17 12:47:45+00:00,10.89,,3.3192718937832995,466.0220808834261
2019-09-17 13:02:45+00:00,10.74,,3.2735518952463396,452.2396583732137
2019-09-17 13:17:45+00:00,10.6,,3.2308798966118433,439.3760640303486
2019-09-17 13:47:45+00:00,10.36,,3.157727898952707,417.3241880140085
2019-09-17 14:17:45+00:00,10.19,,3.105911900610819,401.7041091691011
2019-09-17 14:47:45+00:00,10.01,,3.051047902366467,385.1652021568461
2019-09-17 15:32:45+00:00,9.81,,2.9900879043171873,366.0358929607337
2019-09-17 16:02:45+00:00,9.63,,2.935223906072835,348.78385950295876
2019-09-17 16:47:45+00:00,9.42,,2.871215908121091,328.6564871355547
2019-09-17 17:17:45+00:00,9.28,,2.8285439094865947,315.23823889061856
2019-09-17 17:47:46+00:00,9.19,,2.8011119103644186,306.6122221617311
2019-09-17 18:17:46+00:00,9.37,,2.855975908608771,323.864255619506
2019-09-17 19:17:46+00:00,9.57,,2.916935906658051,343.0331816837004
2019-09-17 20:02:46+00:00,9.72,,2.962655905195011,357.4098762318462
2019-09-17 21:02:46+00:00,9.86,,3.005327903829507,370.82812447678225
2019-09-17 22:17:46+00:00,10.01,,3.051047902366467,385.1652021568461
2019-09-17 23:02:46+00:00,10.22,,3.1150559003182114,404.46059367114367
2019-09-17 23:32:46+00:00,10.39,,3.166871898660099,420.0806725160511
2019-09-17 23:47:47+00:00,10.51,,3.203447897489667,431.1066105242211
2019-09-18 00:17:46+00:00,10.71,,3.2644078955389477,449.4831738711712
2019-09-18 00:47:46+00:00,10.89,,3.3192718937832995,466.0220808834261
2019-09-18 01:17:47+00:00,11.07,,3.3741358920276516,485.7154663974971
2019-09-18 01:47:47+00:00,11.21,,3.416807890662148,504.8880494691946
2019-09-18 02:17:47+00:00,11.36,,3.4625278891991074,525.4301027602986
2019-09-18 02:47:47+00:00,11.51,,3.5082478877360677,545.972156051403
2019-09-18 03:17:47+00:00,11.65,,3.5509198863705635,565.1447391231003
2019-09-18 03:47:47+00:00,11.83,,3.6057838846149157,589.7952030724255
2019-09-18 04:17:56+00:00,11.98,,3.651503883151876,610.3372563635298
2019-09-18 04:32:47+00:00,12.33,,3.758183879738116,663.4860073837002
2019-09-18 04:47:47+00:00,12.53,,3.8191438777873956,694.037411415455
2019-09-18 05:02:47+00:00,12.77,,3.892295875446532,730.6990962535613
2019-09-18 05:32:47+00:00,13.21,,4.026407871154948,800.8386526495709
2019-09-18 05:47:48+00:00,13.38,,4.078223869496837,829.1763959097534
2019-09-18 06:02:47+00:00,13.59,,4.14223186744858,864.181843466449
2019-09-18 06:17:47+00:00,13.76,,4.194047865790468,892.519586726631
2019-09-18 06:32:47+00:00,13.97,,4.258055863742213,927.5250342833269
2019-09-18 06:47:47+00:00,14.15,,4.312919861986565,959.4620368339004
2019-09-18 07:02:47+00:00,14.35,,4.373879860035845,995.3770102998212
2019-09-18 07:17:48+00:00,14.53,,4.428743858280196,1027.7004864191495
2019-09-18 07:32:48+00:00,14.7,,4.480559856622085,1058.2282138651826
2019-09-18 08:02:48+00:00,15.11,,4.6055278526231085,1133.2214023705321
2019-09-18 08:17:48+00:00,15.32,,4.669535850574853,1173.5428041658477
2019-09-18 08:32:48+00:00,15.55,,4.739639848331525,1217.7043394654786
2019-09-18 08:47:48+00:00,15.79,,4.8127918459906605,1263.7859415172666
2019-09-18 09:02:48+00:00,16.02,,4.882895843747333,1308.1882523497811
2019-09-18 09:17:49+00:00,16.26,,4.95604784140647,1357.1592347643102
2019-09-18 09:32:48+00:00,16.52,,5.035295838870533,1410.2111323800489
2019-09-18 09:47:48+00:00,16.78,,5.114543836334597,1463.2630299957884
2019-09-18 10:02:49+00:00,17.02,,5.187695833993733,1512.4678766265533
2019-09-18 10:17:48+00:00,17.31,,5.276087831165189,1575.0322704180924
2019-09-18 10:32:48+00:00,17.55,,5.3492398288243255,1626.8096997628154
2019-09-18 10:47:48+00:00,17.75,,5.410199826873606,1669.957557550084
2019-09-18 11:02:48+00:00,18.02,,5.492495824240134,1728.4348500545086
2019-09-18 11:17:48+00:00,18.25,,5.562599821996805,1780.6733335746767
2019-09-18 11:32:48+00:00,18.46,,5.62660781994855,1828.3693402670046
2019-09-18 11:47:49+00:00,18.66,,5.68756781799783,1873.7941085454122
2019-09-18 12:02:48+00:00,18.84,,5.742431816242182,1914.676399995979
2019-09-18 12:17:48+00:00,19.01,,5.794247814584071,1953.3985049815028
2019-09-18 12:32:48+00:00,19.16,,5.83996781312103,1989.1329617089993
2019-09-18 12:47:48+00:00,19.34,,5.894831811365382,2032.0143097819962
2019-09-18 13:17:48+00:00,19.6,,5.974079808829447,2093.9540347763254
2019-09-18 14:17:48+00:00,20.04,,6.108191804537862,2199.2092062948727
2019-09-18 14:47:49+00:00,20.19,,6.1539118030748226,2236.5715582607777
