timestamp,value,quality,dd6_stage_m,interp_dd6_discharge
2019-09-17 02:04:46+00:00,12.86,,3.919727874568708,744.447228067851
2019-09-17 08:04:47+00:00,12.89,,3.9288718742761004,749.0299386726144
2019-09-17 14:04:48+00:00,12.86,,3.919727874568708,744.447228067851
2019-09-17 20:04:48+00:00,12.86,,3.919727874568708,744.447228067851
2019-09-17 21:19:48+00:00,12.98,,3.956303873398276,762.778070486904
2019-09-17 22:04:48+00:00,13.13,,4.002023871935236,787.5032440565442
2019-09-17 22:34:48+00:00,13.25,,4.038599870764804,807.5063569460842
2019-09-17 23:04:49+00:00,13.36,,4.072127869691908,825.8425437614962
2019-09-17 23:34:48+00:00,13.48,,4.108703868521476,845.8456566510368
2019-09-18 00:04:48+00:00,13.66,,4.1635678667658285,875.8503259853476
2019-09-18 00:34:48+00:00,13.8,,4.206239865400325,899.1872910231449
2019-09-18 01:04:48+00:00,13.98,,4.261103863644676,929.1919603574551
2019-09-18 01:34:49+00:00,14.12,,4.303775862279172,954.074790814012
2019-09-18 02:04:49+00:00,14.27,,4.349495860816132,981.0110209134525
2019-09-18 02:34:49+00:00,14.42,,4.395215859353092,1007.947251012893
2019-09-18 03:04:49+00:00,14.59,,4.447031857694981,1038.474978458926
2019-09-18 03:34:49+00:00,14.74,,4.492751856231941,1065.4112085583665
2019-09-18 04:04:49+00:00,14.92,,4.547615854476293,1097.7346846776954
2019-09-18 04:34:49+00:00,15.12,,4.608575852525573,1135.1414691226903
2019-09-18 05:20:04+00:00,15.74,,4.797551846478341,1254.1856077564778
2019-09-18 05:34:49+00:00,16.0,,4.876799843942405,1304.107343312582
2019-09-18 05:49:49+00:00,16.21,,4.9408078418941495,1346.9569467612832
2019-09-18 06:04:49+00:00,16.41,,5.0017678399434295,1387.7660987733905
2019-09-18 06:19:49+00:00,16.65,,5.074919837602565,1436.7370811879184
2019-09-18 06:49:49+00:00,17.09,,5.2090318333109815,1527.5696268520976
2019-09-18 07:04:49+00:00,17.35,,5.288279830775046,1583.6618419755473
2019-09-18 07:19:49+00:00,17.59,,5.361431828434181,1635.439271320269
2019-09-18 07:34:49+00:00,17.88,,5.4498238256056375,1698.0036651118085
2019-09-18 08:04:50+00:00,18.44,,5.620511820143622,1823.826863439164
2019-09-18 08:19:49+00:00,18.73,,5.708903817315078,1889.6927774428548
2019-09-18 08:34:49+00:00,19.02,,5.797295814486533,1955.7808020966681
2019-09-18 08:49:49+00:00,19.29,,5.879591811853062,2020.1028242061636
2019-09-18 09:04:49+00:00,19.58,,5.967983809024518,2089.189440545992
2019-09-18 09:19:49+00:00,19.81,,6.038087806781189,2143.9822741948205
2019-09-18 09:34:50+00:00,20.05,,6.111239804440326,2201.7000297592667
2019-09-18 09:49:50+00:00,20.28,,6.181343802196999,2258.9889694403205
2019-09-18 10:04:50+00:00,20.52,,6.254495799856135,2318.7687325857682
2019-09-18 10:19:50+00:00,20.69,,6.306311798198023,2361.1127314804608
2019-09-18 10:34:54+00:00,20.9,,6.370319796149766,2413.420024232726
2019-09-18 10:49:50+00:00,21.07,,6.422135794491655,2456.50748862559
2019-09-18 11:04:50+00:00,21.25,,6.476999792736007,2503.254097761699
2019-09-18 11:19:50+00:00,21.4,,6.522719791272967,2542.2096053751225
2019-09-18 11:34:50+00:00,21.54,,6.565391789907462,2578.568079147651
2019-09-18 11:49:50+00:00,21.69,,6.611111788444423,2617.5235867610754
2019-09-18 12:04:50+00:00,21.81,,6.64768778727399,2648.687992851814
2019-09-18 12:19:50+00:00,21.93,,6.684263786103559,2679.8523989425535
2019-09-18 12:35:15+00:00,22.07,,6.726935784738055,2716.939427850912
2019-09-18 13:05:15+00:00,22.28,,6.7909437826898,2773.6628258989635
2019-09-18 13:34:50+00:00,22.45,,6.8427597810316865,2819.5817671759564
2019-09-18 14:04:50+00:00,22.63,,6.897623779276039,2868.2018226457144
2019-09-18 14:34:50+00:00,22.75,,6.934199778105607,2900.615192958887
2019-09-18 15:04:50+00:00,22.89,,6.976871776740103,2938.430791657588
2019-09-18 15:34:50+00:00,23.01,,7.013447775569672,2970.946266069978
2019-09-18 16:04:50+00:00,23.13,,7.050023774399239,3004.584975758739
2019-09-18 17:34:50+00:00,23.42,,7.1384157715706955,3085.8785241732453
2019-09-18 18:19:50+00:00,23.54,,7.174991770400263,3119.5172338620064
2019-09-18 19:04:51+00:00,23.68,,7.217663769034759,3158.7623951655614
2019-09-18 19:34:51+00:00,23.83,,7.263383767571719,3200.810782276513
2019-09-18 20:04:51+00:00,23.98,,7.30910376610868,3242.859169387465
2019-09-18 20:19:55+00:00,24.18,,7.370063764157959,3300.7287885374303
2019-09-18 20:35:15+00:00,24.39,,7.434071762109704,3361.702492980572
2019-09-18 20:50:15+00:00,24.59,,7.495031760158984,3419.772687688326
2019-09-18 21:35:16+00:00,24.95,,7.604759756647687,3524.299038162282
2019-09-18 21:49:51+00:00,25.06,,7.638287755574791,3556.8291203581794
2019-09-18 22:04:51+00:00,25.18,,7.67486375440436,3592.854203168977
2019-09-18 22:50:16+00:00,25.33,,7.7205837529413195,3637.8855566824736
2019-09-18 23:20:06+00:00,25.44,,7.754111751868424,3670.9085492590384
2019-09-18 23:49:51+00:00,25.56,,7.790687750697992,3706.9336320698353
2019-09-19 00:35:16+00:00,25.77,,7.854695748649736,3769.977526988731
2019-09-19 01:05:06+00:00,25.88,,7.8882237475768395,3803.0005195652943
2019-09-19 05:20:17+00:00,26.97,,8.220455736945416,4139.636110655317
