,Time,Model_I1,Model_I2,Model_I3,Model_O1,Model_O2,Model_O3
0,2019-09-17 00:00:00,0.7905099800300375,2.0439699483649747,2.9786889774756196,0.7771171939298317,2.009451788399147,2.9283854675364456
1,2019-09-17 00:15:00,0.7293449815751953,1.7459249558942247,2.7136312335856365,0.7434336724403421,1.7846300658331238,2.7671367126656126
2,2019-09-17 00:30:00,0.6681799831203532,1.4478799634234747,2.249713164010086,0.6554855820222585,1.4152125865101268,2.205397626387209
3,2019-09-17 00:45:00,0.6070149846655111,1.1498349709527245,1.9796135413441664,0.6204230385415734,1.1867280071593622,2.0273678798958716
4,2019-09-17 01:00:00,0.5458499862106689,0.8517899784819745,1.5206095191469124,0.5338189251177425,0.8208805982204092,1.4818164484081713
5,2019-09-17 01:15:00,0.5299724866117683,0.7485299810905415,1.4871361839595254,0.5419667990405871,0.7804118890810627,1.5255118512065555
6,2019-09-17 01:30:00,0.5140949870128677,0.6452699836991085,1.2822292747643975,0.5026744811880899,0.6159497977093173,1.248286155857029
7,2019-09-17 01:45:00,0.4982174874139671,0.5420099863076755,1.244409381492964,0.509616760576298,0.5723401250205613,1.2781313582613283
8,2019-09-17 02:00:00,0.4823399878150665,0.4387499889162426,1.0437388267295191,0.47149939956226544,0.4109394312420344,1.0142599696799037
9,2019-09-17 02:15:00,0.4818124878283922,0.4021824898400153,1.081566137747433,0.49238652179302617,0.42991211997784246,1.1096594249994438
10,2019-09-17 02:30:00,0.481284987841718,0.365614990763788,0.9674344632205398,0.47098860800251086,0.3392108591901193,0.9419802599128886
11,2019-09-17 02:45:00,0.4807574878550438,0.3290474916875607,1.0014089594136224,0.49080114333940794,0.3554053199949596,1.0256446098317327
12,2019-09-17 03:00:00,0.4802299878683696,0.2924799926113335,0.891032414058928,0.47045050803531197,0.26741190989301566,0.8692747111958163
13,2019-09-17 03:15:00,0.4801899878693801,0.2783624929679715,0.9437095990442741,0.48972162009028597,0.303037982767306,0.9640265403628698
14,2019-09-17 03:30:00,0.4801499878703906,0.2642449933246096,0.8600280627508123,0.47086126008277707,0.24043680642527127,0.8416389813818177
15,2019-09-17 03:45:00,0.4801099878714011,0.2501274936812477,0.9092479515784468,0.48916333949694984,0.27357461578265097,0.9263399904558663
16,2019-09-17 04:00:00,0.4800699878724116,0.2360099940378858,0.8289360535259479,0.4712473861662249,0.21339867100479504,0.8136332765431222
17,2019-09-17 04:15:00,0.4800349878732958,0.2335349941004095,0.8865375382642979,0.48863397433968625,0.25561856751903334,0.9004799073691049
18,2019-09-17 04:30:00,0.4799999878741799,0.2310599941629333,0.8214809513598995,0.47162011986487645,0.20958083503879418,0.8089904289745438
19,2019-09-17 04:45:00,0.4799649878750641,0.228584994225457,0.8759725038102919,0.48813249180746265,0.24956501549594984,0.887226377437224
20,2019-09-17 05:00:00,0.4799299878759483,0.2261099942879808,0.8139469982976937,0.47197063716282245,0.2057063645773413,0.8040256789182243
21,2019-09-17 05:15:00,0.4798924878768956,0.2255774943014329,0.8677990587611168,0.48765020344694077,0.24547635871628976,0.8765596112841152
22,2019-09-17 05:30:00,0.479854987877843,0.225044994314885,0.8110323387138474,0.47229505395673277,0.20566228811887202,0.8034523710401146
23,2019-09-17 05:45:00,0.4798174878787903,0.2245124943283371,0.862079716044246,0.4871859370100009,0.2434162823556462,0.8686055922215276
24,2019-09-17 06:00:00,0.4797799878797376,0.2239799943417892,0.8080465676628676,0.47259942799455174,0.2055671429493608,0.8025985041597671
25,2019-09-17 06:15:00,0.4797424878806849,0.223934994342926,0.857488948961534,0.486741203983884,0.2418852482329908,0.8619640305870855
26,2019-09-17 06:30:00,0.4797049878816323,0.2238899943440628,0.8071280435158528,0.4728847650228576,0.20639828172263164,0.8036168083337828
27,2019-09-17 06:45:00,0.4796674878825795,0.2238449943451996,0.8540399632210455,0.48631502418098504,0.2408974422439925,0.8566700136202043
28,2019-09-17 07:00:00,0.4796299878835269,0.2237999943463364,0.8061453606687483,0.4731520203198106,0.20718334352716583,0.8043907684946119
29,2019-09-17 07:15:00,0.4795874878846005,0.2237674943471574,0.850728383073047,0.4859015513094752,0.23996683491780085,0.8516856191801694
30,2019-09-17 07:30:00,0.4795449878856742,0.2237349943479784,0.8052517282855111,0.473392103380639,0.20794962803510206,0.80508674134505
31,2019-09-17 07:45:00,0.4795024878867478,0.2237024943487995,0.8475513338356586,0.4854997295677503,0.23909160737413954,0.8469977940089085
32,2019-09-17 08:00:00,0.4794599878878214,0.2236699943496205,0.804300200920933,0.47361587375611014,0.20867433024705487,0.8055701352139494
33,2019-09-17 08:15:00,0.4794174878888951,0.2236499943501257,0.8446055005740709,0.4851138059581614,0.23826919767824756,0.8426870679558472
34,2019-09-17 08:30:00,0.4793749878899687,0.2236299943506309,0.803643671979149,0.47382415001765216,0.2093845250039409,0.8062052626863576
35,2019-09-17 08:45:00,0.4793324878910424,0.2236099943511361,0.8418884857747457,0.48474298271158345,0.23749800608571264,0.8387459136765378
36,2019-09-17 09:00:00,0.479289987892116,0.2235899943516414,0.8029349003796739,0.47401770966073475,0.21005719372159526,0.8066557062152563
37,2019-09-17 09:15:00,0.4792474878931896,0.2235774943519572,0.8393697623799117,0.4843865020909889,0.236770763275222,0.8351279061545438
38,2019-09-17 09:30:00,0.4792049878942633,0.223564994352273,0.8024714986068245,0.4741972911660632,0.2107092104107032,0.8072290319656137
39,2019-09-17 09:45:00,0.479162487895337,0.2235524943525887,0.8370470376593734,0.48404364438263525,0.23608589623032272,0.8318261158626101
