timestamp,value,quality
2019-09-22 09:39:01+00:00,17.27,
2019-09-22 21:09:03+00:00,16.95,
2019-09-22 21:54:03+00:00,16.85,
2019-09-22 22:09:03+00:00,16.97,
2019-09-22 22:24:03+00:00,16.85,
2019-09-22 23:39:03+00:00,16.85,
2019-09-23 02:09:03+00:00,16.75,
2019-09-23 02:24:03+00:00,16.92,
2019-09-23 02:39:04+00:00,16.8,
2019-09-23 03:09:04+00:00,16.78,
2019-09-23 04:24:04+00:00,16.68,
2019-09-23 08:54:04+00:00,16.48,
2019-09-23 09:09:05+00:00,16.6,
2019-09-23 10:09:05+00:00,16.43,
2019-09-23 21:24:06+00:00,16.23,
2019-09-23 23:09:07+00:00,16.13,
2019-09-23 23:24:07+00:00,16.25,
2019-09-23 23:39:07+00:00,16.13,
2019-09-23 23:54:07+00:00,16.23,
2019-09-24 00:54:07+00:00,16.03,
2019-09-24 01:39:07+00:00,16.18,
2019-09-24 01:54:07+00:00,15.98,
2019-09-24 02:54:07+00:00,16.08,
2019-09-24 03:09:08+00:00,16.0,
2019-09-24 03:24:07+00:00,16.1,
2019-09-24 03:39:07+00:00,16.0,
2019-09-24 03:54:07+00:00,16.13,
2019-09-24 04:39:07+00:00,15.9,
2019-09-24 04:54:08+00:00,16.1,
2019-09-24 05:24:08+00:00,15.95,
2019-09-24 05:54:08+00:00,16.1,
2019-09-24 06:09:08+00:00,16.0,
2019-09-24 07:39:08+00:00,15.9,
2019-09-24 08:09:08+00:00,15.8,
2019-09-24 08:24:08+00:00,15.98,
2019-09-24 08:39:08+00:00,15.8,
2019-09-24 08:54:08+00:00,16.0,
2019-09-24 09:09:09+00:00,15.9,
2019-09-24 10:39:08+00:00,15.8,
2019-09-24 11:09:08+00:00,15.9,
2019-09-24 11:39:08+00:00,15.8,
2019-09-24 20:24:10+00:00,15.55,
2019-09-24 21:09:11+00:00,15.45,
2019-09-24 23:54:10+00:00,15.33,
2019-09-25 00:09:10+00:00,15.5,
2019-09-25 00:39:11+00:00,15.33,
2019-09-25 02:09:11+00:00,15.43,
2019-09-25 02:24:11+00:00,15.28,
2019-09-25 03:09:11+00:00,15.28,
2019-09-25 04:39:11+00:00,15.23,
2019-09-25 05:24:11+00:00,15.35,
2019-09-25 05:39:11+00:00,15.2,
2019-09-25 05:54:11+00:00,15.33,
2019-09-25 06:54:11+00:00,15.03,
2019-09-25 07:09:11+00:00,15.18,
2019-09-25 08:09:12+00:00,15.06,
2019-09-25 09:09:12+00:00,14.91,
2019-09-25 09:24:12+00:00,15.18,
2019-09-25 10:09:12+00:00,15.08,
2019-09-25 13:09:12+00:00,14.93,
2019-09-25 13:24:12+00:00,15.03,
2019-09-25 14:39:13+00:00,14.83,
2019-09-25 14:54:13+00:00,14.93,
2019-09-25 15:09:13+00:00,14.91,
2019-09-25 17:24:13+00:00,14.71,
2019-09-25 17:39:13+00:00,14.81,
2019-09-25 19:24:13+00:00,14.66,
2019-09-25 19:39:13+00:00,14.78,
2019-09-25 19:54:13+00:00,14.68,
2019-09-25 23:09:14+00:00,14.56,
2019-09-26 01:09:14+00:00,14.43,
2019-09-26 02:39:14+00:00,14.33,
2019-09-26 03:09:15+00:00,14.28,
2019-09-26 06:09:15+00:00,14.08,
2019-09-26 06:39:15+00:00,14.21,
2019-09-26 06:54:15+00:00,14.01,
2019-09-26 07:09:15+00:00,14.21,
2019-09-26 07:39:15+00:00,13.93,
2019-09-26 07:54:15+00:00,14.21,
2019-09-26 08:09:15+00:00,13.98,
2019-09-26 08:39:15+00:00,14.21,
2019-09-26 08:54:15+00:00,13.88,
2019-09-26 09:09:16+00:00,13.81,
2019-09-26 10:39:16+00:00,13.71,
2019-09-26 11:09:16+00:00,13.61,
2019-09-26 11:24:16+00:00,13.71,
2019-09-26 11:39:16+00:00,13.53,
2019-09-26 12:40:10+00:00,13.53,
2019-09-26 12:41:14+00:00,13.53,
2019-09-26 12:41:54+00:00,13.53,
2019-09-26 13:54:22+00:00,13.41,
2019-09-26 14:54:22+00:00,13.26,
2019-09-26 15:09:22+00:00,13.31,
2019-09-26 16:09:22+00:00,13.21,
2019-09-26 16:54:22+00:00,13.01,
2019-09-26 18:24:22+00:00,12.86,
2019-09-26 19:39:23+00:00,12.74,
2019-09-26 20:24:23+00:00,12.64,
2019-09-26 21:09:23+00:00,12.61,
2019-09-26 21:24:23+00:00,12.51,
2019-09-26 21:39:23+00:00,12.61,
2019-09-26 22:09:23+00:00,12.44,
2019-09-26 23:39:23+00:00,12.19,
