,Q
2019-09-17 00:00:00,0.25999999418854713
2019-09-17 01:00:00,0.24999999441206455
2019-09-17 02:00:00,0.24999999441206455
2019-09-17 03:00:00,0.24999999441206455
2019-09-17 04:00:00,0.24999999441206455
2019-09-17 05:00:00,0.24999999441206455
2019-09-17 06:00:00,0.24999999441206455
2019-09-17 07:00:00,0.24999999441206455
2019-09-17 08:00:00,0.24999999441206455
2019-09-17 09:00:00,0.24999999441206455
2019-09-17 10:00:00,0.24999999441206455
2019-09-17 11:00:00,0.5999999865889549
2019-09-17 12:00:00,1.149999974295497
2019-09-17 13:00:00,0.7799999825656414
2019-09-17 14:00:00,0.8799999803304672
2019-09-17 15:00:00,1.289999971166253
2019-09-17 16:00:00,1.409999968484044
2019-09-17 17:00:00,1.5199999660253525
2019-09-17 18:00:00,1.5999999642372131
2019-09-17 19:00:00,2.5899999421089888
2019-09-17 20:00:00,2.4299999456852674
2019-09-17 21:00:00,2.5499999430030584
2019-09-17 22:00:00,2.6399999409914017
2019-09-17 23:00:00,2.779999937862158
2019-09-18 00:00:00,3.2699999269098043
2019-09-18 01:00:00,4.709999894723296
2019-09-18 02:00:00,5.389999879524112
2019-09-18 03:00:00,6.019999865442514
2019-09-18 04:00:00,6.989999843761325
2019-09-18 05:00:00,9.05999979749322
2019-09-18 06:00:00,10.369999768212438
2019-09-18 07:00:00,11.369999745860696
2019-09-18 08:00:00,12.369999723508954
2019-09-18 09:00:00,13.579999696463346
2019-09-18 10:00:00,16.37999963387847
2019-09-18 11:00:00,30.24999932385981
2019-09-18 12:00:00,33.81999924406409
2019-09-18 13:00:00,40.5899990927428
2019-09-18 14:00:00,1.389999968931079
2019-09-18 15:00:00,1.2499999720603228
2019-09-18 16:00:00,1.2399999722838402
2019-09-18 17:00:00,2.1399999521672726
2019-09-18 18:00:00,2.659999940544367
2019-09-18 19:00:00,268.7399939931929
2019-09-18 20:00:00,297.06999335996807
2019-09-18 21:00:00,321.7999928072095
2019-09-18 22:00:00,347.7499922271818
2019-09-18 23:00:00,357.76999200321734
2019-09-19 00:00:00,364.0399918630719
2019-09-19 01:00:00,365.34999183379114
2019-09-19 02:00:00,442.89999010041356
2019-09-19 03:00:00,638.0099857393652
2019-09-19 04:00:00,907.5599797144532
2019-09-19 05:00:00,1382.1399691067636
2019-09-19 06:00:00,2223.8999502919614
2019-09-19 07:00:00,2748.9699385557324
2019-09-19 08:00:00,3183.599928840995
2019-09-19 09:00:00,3617.789919136092
2019-09-19 10:00:00,3927.2799122184515
2019-09-19 11:00:00,4314.86990355514
2019-09-19 12:00:00,4247.529905060306
2019-09-19 13:00:00,4044.1099096070975
2019-09-19 14:00:00,3820.199914611876
2019-09-19 15:00:00,3402.589923946187
2019-09-19 16:00:00,3024.3899323996156
2019-09-19 17:00:00,2519.1299436930567
2019-09-19 18:00:00,2180.459951262921
2019-09-19 19:00:00,1862.6999583654106
2019-09-19 20:00:00,1620.1899637859315
2019-09-19 21:00:00,1416.4699683394283
2019-09-19 22:00:00,1246.2299721445888
2019-09-19 23:00:00,1099.6299754213542
2019-09-20 00:00:00,977.5999781489372
2019-09-20 01:00:00,874.2699804585427
2019-09-20 02:00:00,786.3799824230373
2019-09-20 03:00:00,712.2199840806425
2019-09-20 04:00:00,644.9699855837971
2019-09-20 05:00:00,584.0299869459122
2019-09-20 06:00:00,534.6399880498648
2019-09-20 07:00:00,490.77998903021216
2019-09-20 08:00:00,451.17998991534114
2019-09-20 09:00:00,415.4899907130748
2019-09-20 10:00:00,383.31999143213034
2019-09-20 11:00:00,354.31999208033085
2019-09-20 12:00:00,328.24999266304076
2019-09-20 13:00:00,304.7499931883067
2019-09-20 14:00:00,284.14999364875257
2019-09-20 15:00:00,265.8599940575659
2019-09-20 16:00:00,249.95999441295862
2019-09-20 17:00:00,235.54999473504722
2019-09-20 18:00:00,222.16999503411353
2019-09-20 19:00:00,211.02999528311193
2019-09-20 20:00:00,201.55999549478292
2019-09-20 21:00:00,192.75999569147825
2019-09-20 22:00:00,183.51999589800835
2019-09-20 23:00:00,174.8199960924685
2019-09-21 00:00:00,166.61999627575278
2019-09-21 01:00:00,158.82999644987285
2019-09-21 02:00:00,151.4499966148287
2019-09-21 03:00:00,144.4499967712909
2019-09-21 04:00:00,137.8399969190359
2019-09-21 05:00:00,131.59999705851078
2019-09-21 06:00:00,125.68999719060957
2019-09-21 07:00:00,120.09999731555581
2019-09-21 08:00:00,114.81999743357301
2019-09-21 09:00:00,109.77999754622579
2019-09-21 10:00:00,104.83999765664339
2019-09-21 11:00:00,100.21999775990844
2019-09-21 12:00:00,95.86999785713851
2019-09-21 13:00:00,91.77999794855714
2019-09-21 14:00:00,87.92999803461134
2019-09-21 15:00:00,84.28999811597168
2019-09-21 16:00:00,80.84999819286168
2019-09-21 17:00:00,77.57999826595187
2019-09-21 18:00:00,74.48999833501875
2019-09-21 19:00:00,73.00999836809933
2019-09-21 20:00:00,70.19999843090773
2019-09-21 21:00:00,67.54999849013984
2019-09-21 22:00:00,65.0499985460192
2019-09-21 23:00:00,62.69999859854579
2019-09-22 00:00:00,60.48999864794314
2019-09-22 01:00:00,58.3899986948818
2019-09-22 02:00:00,56.39999873936176
2019-09-22 03:00:00,54.509998781606555
2019-09-22 04:00:00,52.70999882183969
2019-09-22 05:00:00,50.989998860284686
2019-09-22 06:00:00,49.359998896718025
2019-09-22 07:00:00,47.79999893158674
2019-09-22 08:00:00,46.339998964220285
2019-09-22 09:00:00,44.96999899484217
2019-09-22 10:00:00,43.64999902434647
2019-09-22 11:00:00,42.3699990529567
2019-09-22 12:00:00,41.229999078437686
2019-09-22 13:00:00,40.139999102801085
2019-09-22 14:00:00,39.11999912559986
2019-09-22 15:00:00,38.089999148622155
2019-09-22 16:00:00,37.079999171197414
2019-09-22 17:00:00,36.08999919332564
2019-09-22 18:00:00,35.11999921500683
2019-09-22 19:00:00,34.10999923758209
2019-09-22 20:00:00,33.18999925814569
2019-09-22 21:00:00,32.28999927826226
2019-09-22 22:00:00,31.429999297484756
2019-09-22 23:00:00,30.5999993160367
2019-09-23 00:00:00,29.799999333918095
2019-09-23 01:00:00,29.03999935090542
