Unnamed: 0,Time,Discharge_NWM,interp_nwm_stage,nwm_stage_ft
0,2019-09-17 00:00:00,0.2599999941885471,0.2528703711794458,0.8296272285803729
1,2019-09-17 01:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
2,2019-09-17 02:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
3,2019-09-17 03:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
4,2019-09-17 04:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
5,2019-09-17 05:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
6,2019-09-17 06:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
7,2019-09-17 07:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
8,2019-09-17 08:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
9,2019-09-17 09:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
10,2019-09-17 10:00:00,0.2499999944120645,0.2523584808425237,0.8279477982873855
11,2019-09-17 11:00:00,0.5999999865889549,0.2702746426347956,0.8867278585419428
12,2019-09-17 12:00:00,1.149999974295497,0.2984286111655085,0.979096524656247
13,2019-09-17 13:00:00,0.7799999825656414,0.27948866869939254,0.916957603815715
14,2019-09-17 14:00:00,0.8799999803304672,0.2846075720686131,0.9337519067455886
15,2019-09-17 15:00:00,1.289999971166253,0.30559507588241724,1.0026085487580698
16,2019-09-17 16:00:00,1.409999968484044,0.3117377599254819,1.022761712273918
17,2019-09-17 17:00:00,1.5199999660253525,0.3173685536316245,1.041235445496779
18,2019-09-17 18:00:00,1.5999999642372131,0.3214636763270009,1.0546708878406776
19,2019-09-17 19:00:00,2.5899999421089888,0.3721408196822842,1.2209344868464251
20,2019-09-17 20:00:00,2.4299999456852674,0.3639505742915313,1.1940636021586277
21,2019-09-17 21:00:00,2.5499999430030584,0.37009325833459594,1.2142167656744758
22,2019-09-17 22:00:00,2.6399999409914017,0.37470027136689443,1.229331638311362
23,2019-09-17 23:00:00,2.779999937862158,0.38186673608380317,1.2528436624131847
24,2019-09-18 00:00:00,3.2699999269098043,0.40694936259298375,1.3351357467695648
25,2019-09-18 01:00:00,4.709999894723296,0.48066157110975943,1.576973708959743
26,2019-09-18 02:00:00,5.389999879524112,0.5154701140204591,1.691174968882883
27,2019-09-18 03:00:00,6.019999865442514,0.5477192052465484,1.7969790773410859
28,2019-09-18 04:00:00,6.989999843761325,0.5973725679279875,1.9598838157608587
29,2019-09-18 05:00:00,9.05999979749322,0.6600393591476768,2.1654835310660636
30,2019-09-18 06:00:00,10.369999768212438,0.6961239054900527,2.283871154087984
31,2019-09-18 07:00:00,11.369999745860696,0.7236693607132403,2.374243385402427
32,2019-09-18 08:00:00,12.369999723508954,0.751214815936428,2.4646156167168707
33,2019-09-18 09:00:00,13.579999696463346,0.7845448167564851,2.5739660166073466
34,2019-09-18 10:00:00,16.37999963387847,0.8616720913814107,2.8270082642877874
35,2019-09-18 11:00:00,30.24999932385981,1.0910933812053134,3.5797028087936402
36,2019-09-18 12:00:00,33.81999924406409,1.1438540608482537,3.7528021569933845
37,2019-09-18 13:00:00,40.5899990927428,1.2372755503605841,4.059303116645019
38,2019-09-18 14:00:00,1.389999968931079,0.3107139792516378,1.0194028516879434
39,2019-09-18 15:00:00,1.2499999720603228,0.30354751453472906,0.9958908275861205
40,2019-09-18 16:00:00,1.2399999722838402,0.303035624197807,0.9942113972931331
41,2019-09-18 17:00:00,2.139999952167273,0.3491057545207918,1.1453601236619946
42,2019-09-18 18:00:00,2.659999940544367,0.37572405204073855,1.2326904988973366
43,2019-09-18 19:00:00,268.7399939931929,2.670688149663747,8.762100508942808
44,2019-09-18 20:00:00,297.06999335996807,2.7707662223903906,9.090440653067288
45,2019-09-18 21:00:00,321.7999928072095,2.849411249921613,9.348462405192825
46,2019-09-18 22:00:00,347.7499922271818,2.9319360564090866,9.619213091309188
47,2019-09-18 23:00:00,357.76999200321734,2.9638011261973136,9.723757286873195
48,2019-09-19 00:00:00,364.0399918630719,2.983740645915096,9.789175660744084
49,2019-09-19 01:00:00,365.3499918337912,2.987906638073038,9.802843614455547
50,2019-09-19 02:00:00,442.8999901004136,3.242569706197085,10.638352394879643
51,2019-09-19 03:00:00,638.0099857393652,3.7073509220079943,12.163225198960708
52,2019-09-19 04:00:00,907.5599797144532,4.221549455135919,13.850228314388128
53,2019-09-19 05:00:00,1382.1399691067636,4.9933636257759595,16.382427117990797
54,2019-09-19 06:00:00,2223.899950291961,6.1384056620716025,20.139126832350996
55,2019-09-19 07:00:00,2748.9699385557324,6.763079755905839,22.188582586366113
56,2019-09-19 08:00:00,3183.599928840995,7.244670084409143,23.768603399732893
57,2019-09-19 09:00:00,3617.789919136092,7.7001808014967335,25.263061180782543
58,2019-09-19 10:00:00,3927.279912218452,8.011599496789302,26.28477609304621
59,2019-09-19 11:00:00,4314.86990355514,8.38792297890121,27.519433226098247
60,2019-09-19 12:00:00,4247.529905060306,8.323672603115261,27.308638023204672
61,2019-09-19 13:00:00,4044.1099096070975,8.12650395529653,26.661759236695065
62,2019-09-19 14:00:00,3820.199914611876,7.905686165537042,25.93729139934055
63,2019-09-19 15:00:00,3402.589923946187,7.476993913902853,24.530820712489035
64,2019-09-19 16:00:00,3024.389932399616,7.071558074543884,23.200650593286557
65,2019-09-19 17:00:00,2519.1299436930567,6.495632425121589,21.311130685635913
66,2019-09-19 18:00:00,2180.459951262921,6.0847587091794875,19.96311976342443
